index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
1,BECKER'S TAVERN,21224,Baltimore Highlands,Paul Krekorian,SOUTHEASTERN,"3820 PRATT ST
Baltimore, MD"
2,BEDROCK,21201,Downtown,New York City ,CENTRAL,"401 BALTIMORE ST
Baltimore, MD"
3,BEDROCK (KITCHEN AREA),21201,Downtown,New York City ,CENTRAL,"401 BALTIMORE ST
Baltimore, MD"
4,BELAIR PUB,21206,Glenham-Belford,Paul Krekorian,NORTHEASTERN,"5860 BELAIR RD
Baltimore, MD"
5,BELT STREET PUB,21230,Riverside,Los Angeles City,SOUTHERN,"1747 BELT ST
Baltimore, MD"
6,BELVEDERE TOWERS CAF?�,21210,Roland Park,Melissa Cabello Havrda,NORTHERN,"1190 NORTHERN PKWY
Baltimore, MD"
7,"BERGER'S TAVERN, INCORPORATED",21206,Waltherson,Paul Krekorian,NORTHEASTERN,"5523 BELAIR RD
Baltimore, MD"
8,BERMUDA BAR,21213,Broadway East,Los Angeles City,EASTERN,"1801 NORTH AVE
Baltimore, MD"
9,BERTHA'S RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"734 BROADWAY
Baltimore, MD"
10,BERT'S EATS & DRINKS (3103-05),21218,Charles Village,14,NORTHERN,"3105 ST PAUL ST
Baltimore, MD"
11,BEST WESTERN TRAVEL PLAZA,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST
Baltimore, MD"
12,BIG APPLE TREE CAF?�,21202,Downtown,11,CENTRAL,"300 BALTIMORE ST
Baltimore, MD"
13,BIG BAD WOLF'S HOUSE OF BARBEQUE,21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5713 HARFORD RD
Baltimore, MD"
14,BIG KAHUNA CANTINA,21202,Inner Harbor,11,CENTRAL,"301 LIGHT ST
Baltimore, MD"
15,BIG TEE'S BAR & GRILL,21224,Greektown,2,SOUTHEASTERN,"300 OLDHAM ST
Baltimore, MD"
16,BILL'S 60'S & 70'S CLUB,21223,Hollins Market,9,SOUTHERN,"1000 LOMBARD ST
Baltimore, MD"
17,BILL'S CAFE,21222,Graceland Park,1,SOUTHEASTERN,"6701 HOLABIRD AVE
Baltimore, MD"
18,BILL'S LIGHTHOUSE INN,21230,Riverside,10,SOUTHERN,"1741 LIGHT ST
Baltimore, MD"
19,BILTMORE SUITES HOTEL,21201,Mount Vernon,11,CENTRAL,"205 MADISON ST
Baltimore, MD"
20,BIRCHES RESTAURANT,21224,Canton,1,SOUTHEASTERN,"641 MONTFORD AVE
Baltimore, MD"
21,BIRDS OF A FEATHER,21231,Fells Point,1,SOUTHEASTERN,"1712 ALICEANNA ST
Baltimore, MD"
22,"BLACKTIE SERVICE, LLP",21215,Seton Business Park,5,NORTHWESTERN,"4700 MT HOPE DR
Baltimore, MD"
23,BLACKTIE SERVICES,21211,Woodberry,7,NORTHERN,"3725 MALDEN AVE
Baltimore, MD"
24,BLARNEY STONE INN,21225,Brooklyn,10,SOUTHERN,"3915 HANOVER ST
Baltimore, MD"
25,BLARNEY STONE PUB,21231,Fells Point,1,SOUTHEASTERN,"704 BROADWAY
Baltimore, MD"
26,BLEACHERS,21224,Canton,1,SOUTHEASTERN,"2501 FLEET ST
Baltimore, MD"
27,ALLEN RESTAURANT,21206,Waltherson,2,NORTHEASTERN,"5621 BELAIR RD
Baltimore, MD"
28,ALOHA TOKYO,21230,Locust Point Industrial Area,10,SOUTHERN,"1120 FORT AVE
Baltimore, MD"
29,ALONSO'S RESTAURANT & COCKTAIL LOUNGE,21210,Evergreen,6,NORTHERN,"415 COLD SPRING LN
Baltimore, MD"
30,AMBASSADOR DINNING ROOM,21218,Tuscany-Canterbury,14,NORTHERN,"3811 CANTERBURY RD
Baltimore, MD"
31,AMBROSIA'S,21230,Cherry Hill,10,SOUTHERN,"1810 CHERRY HILL RD
Baltimore, MD"
32,AMERICAN FOOD SERVICE,21223,Hollins Market,9,SOUTHERN,"901 PRATT ST
Baltimore, MD"
33,AMERICAN LEGION FEDERAL POST #19,21217,Madison Park,11,CENTRAL,"1502 MADISON AVE
Baltimore, MD"
34,AMERICAN LEGION POST #187,21226,Curtis Bay,10,SOUTHERN,"1527 CHERRY ST
Baltimore, MD"
35,AMERICAN LEIGON FORT MCHENRY POST #133,21230,Riverside,10,SOUTHERN,"506 FORT AVE
Baltimore, MD"
36,AMIGO'S BAR,21224,Highlandtown,2,SOUTHEASTERN,"400 EATON ST
Baltimore, MD"
37,ANGELINA'S,21234,North Harford Road,3,NORTHEASTERN,"7135 HARFORD RD
Baltimore, MD"
38,ANGELO'S RESTAURANT & CARRYOUT,21211,Wyman Park,7,NORTHERN,"3600 KESWICK RD
Baltimore, MD"
39,ANGELS ROCK BAR,21202,Downtown,11,CENTRAL,"10 MARKET PLACE
Baltimore, MD"
40,ANGLE INN,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5805 O Donnell ST
Baltimore, MD"
41,ANNABEL LEE TAVERN,21224,Canton,1,SOUTHEASTERN,"601 CLINTON ST
Baltimore, MD"
42,ANNS AT LEXINGTON PLACE,21201,Seton Hill,11,CENTRAL,"631 LEXINGTON ST
Baltimore, MD"
43,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,21215,Fallstaff,5,NORTHWESTERN,"6798 REISTERSTOWN RD
Baltimore, MD"
44,aramark at citi bank baltimore,21202,Downtown,11,CENTRAL,"300 st paul pl
Baltimore, MD"
45,ARAMARK FHC SPORTS  (MAIN KITCHEN),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
46,ARAMARK FHC SPORTS (BAR 200-201),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
47,ARAMARK FHC SPORTS (BAR 210),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
48,ARAMARK FHC SPORTS (BAR 217),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
49,ARAMARK FHC SPORTS (BAR 221),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
50,ARAMARK FHC SPORTS (BAR 232),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
51,ARAMARK FHC SPORTS (BAR 236),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
52,ARAMARK FHC SPORTS (BAR 244),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
53,ARAMARK FHC SPORTS (BAR 252-253),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
54,ARAMARK/PNC,21201,Downtown,11,CENTRAL,"Hopkins Pl
Baltimore, MD"
55,ARA-MONUMENTAL LIFE INSURANCE COMPANY,21202,Mid-Town Belvedere,12,CENTRAL,"2 CHASE ST
Baltimore, MD"
56,ARCH SOCIAL CLUB,21217,Penn North,7,CENTRAL,"2426 PENNSYLVANIA
Baltimore, MD"
57,ARCOS,21231,Washington Hill,1,SOUTHEASTERN,"129 BROADWAY
Baltimore, MD"
58,ARIZONA BAR & GRILL,21231,Washington Hill,1,SOUTHEASTERN,"25 BROADWAY
Baltimore, MD"
59,ASAHI SUSHI,21231,Fells Point,1,SOUTHEASTERN,"629 BROADWAY
Baltimore, MD"
60,asian taste,21211,Hampden,14,NORTHERN,"916 36th st
Baltimore, MD"
61,ATWATER'S,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD"
62,AU BON PAIN,21202,Downtown,11,CENTRAL,"1 SOUTH ST
Baltimore, MD"
63,AUSTIN GRILL,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD"
64,AUSTIN GRILL,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD"
65,AVENUE BAR & LIQUOR,21202,Johnston Square,12,EASTERN,"1238 GREENMOUNT AVE
Baltimore, MD"
66,azteca de oro,21224,Greektown,2,SOUTHEASTERN,"4901 eastern ave
Baltimore, MD"
67,B,21217,Bolton Hill,11,CENTRAL,"1501 bolton ST
Baltimore, MD"
68,B & J RESTAURANT,21223,Carrollton Ridge,9,SOUTHWESTERN,"2251 WILKENS AVE
Baltimore, MD"
69,B & O CAFE,21223,New Southwest/Mount Clare,9,SOUTHERN,"1301 PRATT ST
Baltimore, MD"
70,B G'S,21223,Carrollton Ridge,9,SOUTHERN,"301 PAYSON ST
Baltimore, MD"
71,"B.G.'S,PUB INCORPORATED",21224,Greektown,2,SOUTHEASTERN,"619 OLDHAM ST
Baltimore, MD"
72,babalu grill,21202,Downtown,11,CENTRAL,"34 MARKET PL
Baltimore, MD"
73,BACKSTRETCH SALOON,21209,Medfield,7,NORTHERN,"1301 OLD COLDSPRING Ln
Baltimore, MD"
74,BAJA BEACH CLUB  (COMBINED WITH BAR-L),21202,Downtown,11,CENTRAL,"55 MARKET PL
Baltimore, MD"
75,BALTIMORE BEVERAGE CO. LLC,21201,Downtown,11,CENTRAL,"20 BALTIMORE ST
Baltimore, MD"
76,BALTIMORE BEVERAGE CO. -STARBUCKS,21201,Downtown,11,CENTRAL,"20 BALTIMORE ST
Baltimore, MD"
77,BALTIMORE COUNTRY CLUB,21210,Roland Park,6,NORTHERN,"4712 CLUB RD
Baltimore, MD"
78,BALTIMORE DELIGHT RESTAURANT,21224,Greektown,2,SOUTHEASTERN,"4713 EASTERN AVENUE
Baltimore, MD"
79,"BALTIMORE EAGLE, INC.",21218,Charles North,12,NORTHERN,"2022 CHARLES ST
Baltimore, MD"
80,BALTIMORE ESTONIAN SOCIETY,21213,South Clifton Park,12,EASTERN,"1932 BELAIR RD
Baltimore, MD"
81,BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD"
82,BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD"
83,BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD"
84,BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD"
85,BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,21202,Inner Harbor,11,SOUTHERN,"110 EUTAW ST
Baltimore, MD"
86,BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,21201,Inner Harbor,11,SOUTHERN,"110 EUTAW ST
Baltimore, MD"
87,BALTIMORE PHO,21223,Hollins Market,9,SOUTHERN,"1114 16 HOLLINS ST
Baltimore, MD"
88,BALTMORE KICKERS,21231,Washington Hill,1,SOUTHEASTERN,"26 BROADWAY
Baltimore, MD"
89,BANJARA,21230,Federal Hill,10,SOUTHERN,"1015 CHARLES ST
Baltimore, MD"
90,BANTHAI,21201,Downtown,11,CENTRAL,"340 CHARLES ST
Baltimore, MD"
91,BARISTA ESPRESSO CAF?�,21230,Inner Harbor,10,SOUTHERN,"500 HARBORVIEW DR
Baltimore, MD"
92,BARNES & NOBLE BOOKSELLERS,21202,Inner Harbor,11,CENTRAL,"601 PRATT ST
Baltimore, MD"
93,BARTENDERS,21231,Canton,1,SOUTHEASTERN,"2218 BOSTON ST
Baltimore, MD"
94,BLU BAMBU-FRESH AISIAN EATS,21202,Inner Harbor,11,CENTRAL,"621 PRATT ST
Baltimore, MD"
95,BLUE AGAVE RESTAURANT AND TEQUILERIA,21230,Federal Hill,10,SOUTHERN,"1032 LIGHT ST
Baltimore, MD"
96,BLUE CRAB EXPRESS & CAF?� INC.,21230,Cherry Hill,10,SOUTHERN,"1020 PATAPSCO AVE
Baltimore, MD"
97,blue island malaysian cuisine,21201,Downtown,11,CENTRAL,"400 lexington st
Baltimore, MD"
98,BLUE JEAN CAFE,21224,Broening Manor,1,SOUTHEASTERN,"6422 HOLABIRD AVE
Baltimore, MD"
99,BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,21231,Fells Point,1,SOUTHEASTERN,"1621 ALICEANNA ST
Baltimore, MD"
100,BLUE PARROT,21206,Glenham-Belford,2,NORTHEASTERN,"5860 BELAIR RD
Baltimore, MD"
101,BLUE POINT CRAB HOUSE (seasonal),21224,Patterson Place,13,SOUTHEASTERN,"237 MONTFORD AVE
Baltimore, MD"
102,BLUE SEA GRILL,21202,Downtown,11,CENTRAL,"614 WATER ST
Baltimore, MD"
103,BLUE SKY RESTAURANT,21201,Downtown,11,CENTRAL,"237 PARK AVE
Baltimore, MD"
104,BLUEHOUSE,21231,Fells Point,1,SOUTHEASTERN,"1407 FLEET ST
Baltimore, MD"
105,BO BROOKS,21224,Canton,1,SOUTHEASTERN,"2701 BOSTON ST
Baltimore, MD"
106,BOB CUMMINGS PLACE,21224,Baltimore-Linwood,1,SOUTHEASTERN,"148 EAST AVE
Baltimore, MD"
107,BOB DELI,21224,Hopkins Bayview,2,SOUTHEASTERN,"333 CASSELL DR
Baltimore, MD"
108,BOB'S BAR,21230,Washington Village,9,SOUTHERN,"1173 WASHINGTON BLVD
Baltimore, MD"
109,BOB'S OLDIE'S CAF?�,21224,Brewers Hill,1,SOUTHEASTERN,"4017 19 EASTERN AVE
Baltimore, MD"
110,BOCCACCIO,21202,Little Italy,1,SOUTHEASTERN,"925 EASTERN AVE
Baltimore, MD"
111,BOP BRICK OVEN PIZZA,21231,Fells Point,1,SOUTHEASTERN,"800 BROADWAY
Baltimore, MD"
112,BOUILLABAISSE CAF?�,21201,Downtown,11,CENTRAL,"316 PARK AVE
Baltimore, MD"
113,BOULDER GARDEN CAFE,21210,Loyola/Notre Dame,6,NORTHERN,"4501 CHARLES ST
Baltimore, MD"
114,BRASS MONKEY SALOON,21231,Fells Point,1,SOUTHEASTERN,"1601 EASTERN AVE
Baltimore, MD"
115,BRASSERIE TATIN,21210,Tuscany-Canterbury,14,NORTHERN,"105 39TH ST
Baltimore, MD"
116,BREEZE INC.,21211,Hampden,14,NORTHERN,"850 36TH ST
Baltimore, MD"
117,"BRENDAL, INC.",21230,Riverside,10,SOUTHERN,"201 FORT AVE
Baltimore, MD"
118,BREWER'S HILL PUB & GRILL,21224,Brewers Hill,1,SOUTHEASTERN,"3734 FLEET ST
Baltimore, MD"
119,BREWSTER'S TAVERN,21231,Upper Fells Point,1,SOUTHEASTERN,"2201 GOUGH ST
Baltimore, MD"
120,BROADWAY DINER,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"6501 EASTERN AVE
Baltimore, MD"
121,BROOKEY'S,21206,Belair-Edison,13,NORTHEASTERN,"4201 BELAIR RD
Baltimore, MD"
122,BROOKLYN BOOSTER CLUB,21225,Brooklyn,10,SOUTHERN,"646 PATAPSCO AVE
Baltimore, MD"
123,"BROOKLYN INN, LLC",21225,Brooklyn,10,SOUTHERN,"705 PATAPSCO
Baltimore, MD"
124,BROOKLYN PLEASURE CLUB,21225,Brooklyn,10,SOUTHERN,"430 PATAPSCO AVE
Baltimore, MD"
125,"BROTHERS PLACE, INC.",21223,Carrollton Ridge,9,SOUTHERN,"1846 PRATT ST
Baltimore, MD"
126,"BRUCE MCKELDIN CONSULTING, LLC",21231,Fells Point,1,SOUTHEASTERN,"702 BROADWAY
Baltimore, MD"
127,BUD PAOLINO'S RESTAURANT,21224,Baltimore Highlands,2,SOUTHEASTERN,"3919 LOMBARD ST
Baltimore, MD"
128,BUFFALO WINGGS AND BEER,21234,North Harford Road,3,NORTHEASTERN,"7653 HARFORD RD
Baltimore, MD"
129,BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,21218,Harwood,12,NORTHERN,"454 WHITERIDGE AVE
Baltimore, MD"
130,BULLSEYE BAR & GRILLE,21234,North Harford Road,3,NORTHEASTERN,"7653 HARFORD RD
Baltimore, MD"
131,BURGER KING,21230,Carroll Park,9,SOUTHERN,"1735 WASHINGTON BLVD
Baltimore, MD"
132,BURGER KING,21231,Fells Point,1,SOUTHEASTERN,"2033 EASTERN AVE
Baltimore, MD"
133,BURGER KING,21224,Kresson,2,EASTERN,"4100 PULASKI HWY
Baltimore, MD"
134,BURGER KING,21202,Downtown,11,CENTRAL,"8 FAYETTE ST
Baltimore, MD"
135,BURGER KING # 10293,21217,Druid Heights,11,CENTRAL,"1201 NORTH AVE
Baltimore, MD"
136,BURGER KING # 13360,21211,Remington,7,NORTHERN,"555 29TH ST
Baltimore, MD"
137,BURGER KING #10294,21202,Pleasant View Gardens,12,SOUTHEASTERN,"1241 ORLEANS ST
Baltimore, MD"
138,BURGER KING #10295,21215,Central Park Heights,6,NORTHWESTERN,"4400 REISTERSTOWN RD
Baltimore, MD"
139,BURGER KING #1950,21230,Cherry Hill,10,SOUTHERN,"1437 PATAPSCO AVE
Baltimore, MD"
140,BURGER KING #2610,21215,Mondawmin,7,WESTERN,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD"
141,"BURKE'S CAFE, INCORPORATED",21202,Downtown,11,CENTRAL,"36 LIGHT ST
Baltimore, MD"
142,BURKE'S CAF?�/ COMEDY FACTORY,21202,Downtown,11,CENTRAL,"36 LIGHT ST
Baltimore, MD"
143,BUSTER'S PUB,21224,Baltimore-Linwood,1,SOUTHEASTERN,"3208 LOMBARD ST
Baltimore, MD"
144,"BUTTS & BETTY'S TAVERN, INC.",21231,Upper Fells Point,1,SOUTHEASTERN,"2200 GOUGH ST
Baltimore, MD"
145,B-WATCH,21231,Fells Point,1,SOUTHEASTERN,"2000 EASTERN AVE
Baltimore, MD"
146,BYZANTIO CAF?�,21224,Greektown,2,SOUTHEASTERN,"4618 EASTERN AVE
Baltimore, MD"
147,CAF?� AZAFRAN,21218,Johns Hopkins Homewood,14,NORTHERN,"3700 SAN MARTIN DR
Baltimore, MD"
148,CAF?� EXPRESS,21201,Downtown,11,CENTRAL,"36 CHARLES ST
Baltimore, MD"
149,CAF?� GIA,21202,Little Italy,1,SOUTHEASTERN,"410 HIGH ST
Baltimore, MD"
150,CAF?� GOURMET,21201,Downtown,11,CENTRAL,"1 CHARLES ST
Baltimore, MD"
151,CAFE' INTERNATIONALE,21202,Inner Harbor,11,CENTRAL,"401 PRATT ST
Baltimore, MD"
152,CAF?� LATTE 'DA,21231,Fells Point,1,SOUTHEASTERN,"1704 ALICEANNA ST
Baltimore, MD"
153,CAFE MANET,21230,Federal Hill,10,SOUTHERN,"1020 CHARLES ST
Baltimore, MD"
154,"CAF?� ON THE SQUARE, LLC",21201,Downtown,11,CENTRAL,"11 PACA ST
Baltimore, MD"
155,CAF?� SUSSIE'S,21202,Greenmount West,12,EASTERN,"203 NORTH AVE
Baltimore, MD"
156,CAFE ZEN,21212,Rosebank,4,NORTHERN,"438 BELVEDERE AVE
Baltimore, MD"
157,CALIFORNIA PIZZA KITCHEN,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD"
158,CAMDEN PUB,21201,University Of Maryland,11,CENTRAL,"647 PRATT ST
Baltimore, MD"
159,CAMERON'S SEAFOOD,21215,Central Park Heights,6,NORTHWESTERN,"2707 COLD SPRING LN
Baltimore, MD"
160,CANTINA LAS AMERICAS/LA RUMBA,21202,Washington Hill,1,SOUTHEASTERN,"1650 54 E PRATT ST
Baltimore, MD"
161,CANTON COVE,21224,Canton,1,SOUTHEASTERN,"901 CLINTON ST
Baltimore, MD"
162,CANTON STATION,21224,Canton Industrial Area,1,SOUTHEASTERN,"1028 CONKLING ST
Baltimore, MD"
163,CANTON'S PEARLS,21224,Canton,1,SOUTHEASTERN,"3301 BOSTON ST
Baltimore, MD"
164,CANTON'S PORTSIDE TAVERN,21224,Canton,1,SOUTHEASTERN,"2821 O DONNELL ST
Baltimore, MD"
165,CAPTAIN LARRY'S,21230,Riverside,10,SOUTHERN,"601 FORT AVE
Baltimore, MD"
166,caribbean paradise,21201,Charles North,12,CENTRAL,"1818 charles ST
Baltimore, MD"
167,CARIBOU COFFEE,21201,Downtown,11,CENTRAL,"1 CHARLES ST
Baltimore, MD"
168,CARL REFEERS BAR & GRILL,21231,Fells Point,1,SOUTHEASTERN,"707 BROADWAY
Baltimore, MD"
169,CARLOS O'CHARLIES,21224,Highlandtown,1,SOUTHEASTERN,"3508 EASTERN AVE
Baltimore, MD"
170,CARL'S LITTLE HOUSE,21230,Washington Village,10,SOUTHERN,"1171 HAMBURG ST
Baltimore, MD"
171,CARLYLE CLUB,21210,Roland Park,14,NORTHERN,"500 UNIVERSITY PKWY
Baltimore, MD"
172,CAROLINAS TEX- MEX RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"1704 GOUGH ST
Baltimore, MD"
173,CAROLINA'S TEX-MEX RESTURANT,21231,Fells Point,1,SOUTHEASTERN,"505 BROADWAY
Baltimore, MD"
174,CARROLL STATION,21223,Carroll Park,9,SOUTHERN,"1415 WASHINGTON BLVD
Baltimore, MD"
175,CARROLL STATION,21230,Carroll Park,9,SOUTHERN,"1415 19 WASHINGTON BLVD
Baltimore, MD"
176,CASSANOVIA,21217,Penn North,7,WESTERN,"2700 PENNSYLVANIA AVE
Baltimore, MD"
177,CASTAWAY'S BAR &  GRILL,21231,Canton,1,SOUTHEASTERN,"2206 BOSTON ST
Baltimore, MD"
178,CATALINA RESTAURANT,21230,Inner Harbor,10,SOUTHERN,"500 HARBOR VIEW DR
Baltimore, MD"
179,CATCH 22 SALOON,21224,Joseph Lee,2,SOUTHEASTERN,"6000 EASTERN AVE
Baltimore, MD"
180,CATON HOUSE RESTAURANT,21227,Morrell Park,8,SOUTHWESTERN,"1506 CATON AVE
Baltimore, MD"
181,CATTLE & FIN GRILL,21234,Woodring,3,NORTHEASTERN,"6826 HARFORD RD
Baltimore, MD"
182,CAZBAR,21201,Downtown,11,CENTRAL,"316 CHARLES ST
Baltimore, MD"
183,CC LOUNGE,21215,Lucille Park,6,NORTHWESTERN,"4923 REISTERSTOWN RD
Baltimore, MD"
184,CEASAR'S DEN,21202,Little Italy,1,SOUTHEASTERN,"223 HIGH ST
Baltimore, MD"
185,CEDONIA INN,21206,Frankford,2,NORTHEASTERN,"5900 MORAVIA RD
Baltimore, MD"
186,"CENTER CLUB, INCORPORATED",21201,Inner Harbor,11,CENTRAL,"100 LIGHT ST
Baltimore, MD"
187,CENTER STAGE,21202,Mount Vernon,11,CENTRAL,"700 CALVERT ST
Baltimore, MD"
188,CENTRAL STATION,21201,Mid-Town Belvedere,11,CENTRAL,"1001 CHARLES ST
Baltimore, MD"
189,CERIELLO FINE FOODS,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD"
190,CHAMPAGNE TONY'S,21202,Mid-Town Belvedere,12,CENTRAL,"1 CHASE ST
Baltimore, MD"
191,"CHARLES & MADISON, LLC",21201,Mount Vernon,11,CENTRAL,"801 CHARLES ST
Baltimore, MD"
192,CHARLES RESTAURANT  &  CARRYOUT,21218,Charles Village,12,NORTHERN,"38 25TH ST
Baltimore, MD"
193,CHARLES ST DELI,21201,Downtown,11,CENTRAL,"2 charles st
Baltimore, MD"
194,CHARLES VILLAGE PUB,21218,Charles Village,14,NORTHERN,"3107 ST PAUL ST
Baltimore, MD"
195,CHARLESTON,21202,Inner Harbor,1,SOUTHEASTERN,"1000 LANCASTER ST
Baltimore, MD"
196,CHARLIE & DEE RESTAURANT,21230,Washington Village,9,SOUTHERN,"1539 BUSH ST
Baltimore, MD"
197,CHARLOTTE'S,21230,Riverside,10,SOUTHERN,"1542 LIGHT ST
Baltimore, MD"
198,CHARM CITY INN,21224,Greektown,2,SOUTHEASTERN,"500 LEHIGH ST
Baltimore, MD"
199,CHAZZ &  REN'E,21224,Canton,1,SOUTHEASTERN,"800 KENWOOD AVE
Baltimore, MD"
200,CHEERLEADERS,21231,Fells Point,1,SOUTHEASTERN,"702 BROADWAY
Baltimore, MD"
201,CHEERLEADERS SPORTS BAR,21231,Fells Point,1,SOUTHEASTERN,"702 BROADWAY ST
Baltimore, MD"
202,CHEF PAOLINO,21201,Inner Harbor,11,CENTRAL,"100 CHARLES ST
Baltimore, MD"
203,CHESAPEAKE BAY RESTAURANT,21218,Johns Hopkins Homewood,14,NORTHERN,"10 ART MUSEUM DR
Baltimore, MD"
204,CHESAPEAKE WINE COMPANY,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD"
205,CHIAPPARELLI'S RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"237 HIGH ST
Baltimore, MD"
206,CHIC & TROUT (1007-09),21202,Johnston Square,12,EASTERN,"1007 GREENMOUNT AVE
Baltimore, MD"
207,CHICKEN RICO,21224,Brewers Hill,1,SOUTHEASTERN,"3728 EASTERN AVE
Baltimore, MD"
208,CHIMES CAF?�,21215,Seton Business Park,5,NORTHWESTERN,"4814 SETON DR
Baltimore, MD"
209,CHINA CHEF,21224,Baltimore Highlands,2,SOUTHEASTERN,"3816 LOMBARD ST
Baltimore, MD"
210,CHINA EAST,21224,Joseph Lee,2,SOUTHEASTERN,"6230 EASTERN AVE
Baltimore, MD"
211,CHINA EUTAW EXPRESS,21201,Downtown,11,CENTRAL,"236 238 N EUTAW ST
Baltimore, MD"
212,CHINA GARDEN,21202,Oldtown,12,EASTERN,"582 OLD TOWN MALL
Baltimore, MD"
213,CHINA WOK,21239,Loch Raven,4,NORTHEASTERN,"5820 HILLEN RD
Baltimore, MD"
214,CHINATOWN CAF?�,21201,Downtown,11,CENTRAL,"323 PARK AVE
Baltimore, MD"
215,CHINESE DELIGHT,21211,Hampden,14,NORTHERN,"4032 FALLS RD
Baltimore, MD"
216,CHIPOTLE,21202,Inner Harbor,11,CENTRAL,"621 PRATT ST
Baltimore, MD"
217,CHIPOTLE MEXICAN GRILL,21218,Charles Village,14,NORTHERN,"3201 ST PAUL ST
Baltimore, MD"
218,CHIU'S SUSHI JAPANESE RESTAURANT,21202,Inner Harbor,1,SOUTHEASTERN,"608 EXETER ST
Baltimore, MD"
219,CHIYO SUSHI,21209,Mount Washington,5,NORTHERN,"1619 SULGRAVE AVE
Baltimore, MD"
220,CHOCOLATEA,21218,Tuscany-Canterbury,14,NORTHERN,"3811 CANTERBURY RD
Baltimore, MD"
221,CHOPPER'S TAVERN,21217,Upton,11,CENTRAL,"1531 PENNSYLVANIA AVE
Baltimore, MD"
222,CHOW  MEIN CHARLIES  chinese food,21210,Roland Park,6,NORTHERN,"508 COLD SPRING LN
Baltimore, MD"
223,CHRIS LIQUOR & GRILL,21230,Washington Village,9,SOUTHERN,"1273 washington blvd
Baltimore, MD"
224,CHUBBIES CLUB,21231,Fells Point,1,SOUTHEASTERN,"2000 EASTERN AVE
Baltimore, MD"
225,CHUCK'S,21224,Canton,1,SOUTHEASTERN,"3137 EASTERN AVE
Baltimore, MD"
226,CHUNG MEE RESTAURANT,21239,Woodbourne Heights,4,NORTHERN,"5646 THE
Baltimore, MD"
227,CIAO BELLA RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"236 HIGH ST
Baltimore, MD"
228,CINCO DE MAYO,21231,Little Italy,1,SOUTHEASTERN,"1312 EASTERN AVE
Baltimore, MD"
229,CINGHIALE,21202,Inner Harbor,1,SOUTHEASTERN,"822 LANCASTER ST
Baltimore, MD"
230,CIRCUS BAR & RESTAURANT,21202,Downtown,11,CENTRAL,"427 BALTIMORE ST
Baltimore, MD"
231,CITY LIMITS SPORTS BAR,21230,Locust Point,10,SOUTHERN,"1700 FORT AVE
Baltimore, MD"
232,claddagh pub,21224,Canton,1,SOUTHEASTERN,"2918 O DONNELL ST
Baltimore, MD"
